,Region,Seed,team1,team2,win_loss_pct_x,srs_x,pace_x,off_rtg_x,fg3a_per_fga_pct_x,trb_pct_x,ast_pct_x,stl_pct_x,blk_pct_x,tov_pct_x,orb_pct_x,ft_rate_x,win_loss_pct_y,srs_y,pace_y,off_rtg_y,fg3a_per_fga_pct_y,trb_pct_y,ast_pct_y,stl_pct_y,blk_pct_y,tov_pct_y,orb_pct_y,ft_rate_y
0,East,1.0,Duke,Mount St. Mary's,0.897,30.72,66.6,125.0,0.446,55.2,58.6,10.1,10.9,12.1,34.0,0.26,0.639,-7.91,68.0,101.7,0.411,52.9,60.4,8.7,8.2,18.9,30.9,0.229
1,East,8.0,Mississippi State,Baylor,0.618,17.14,69.6,113.0,0.427,51.5,53.2,13.0,13.8,12.9,33.9,0.221,0.571,18.77,65.8,113.6,0.398,52.5,53.3,11.3,8.6,13.5,36.6,0.225
2,East,5.0,Oregon,Liberty,0.714,18.0,68.7,110.2,0.383,51.5,52.9,10.3,9.9,14.2,30.5,0.25,0.8,7.42,67.1,112.7,0.489,48.9,61.4,9.8,7.8,13.7,20.7,0.19
3,East,4.0,Arizona,Akron,0.649,22.94,70.4,116.3,0.347,55.0,55.6,10.6,12.1,13.7,36.0,0.28,0.8,3.22,72.5,115.4,0.459,52.3,58.6,10.5,9.8,14.0,32.7,0.197
4,East,6.0,BYU,VCU,0.722,19.07,68.1,117.6,0.476,54.3,59.6,10.3,10.0,14.9,33.7,0.217,0.8,14.45,66.6,115.1,0.48,53.3,56.4,12.0,15.3,14.1,36.9,0.239
5,East,3.0,Wisconsin,Montana,0.73,20.73,68.7,116.3,0.482,51.7,54.2,7.5,6.3,12.3,28.0,0.282,0.714,-1.45,68.0,112.3,0.37,49.2,49.2,9.2,8.4,14.4,23.7,0.256
6,East,7.0,Saint Mary's,Vanderbilt,0.829,17.43,63.7,113.6,0.334,57.5,56.3,9.5,10.6,12.4,39.8,0.215,0.606,14.66,69.8,112.6,0.404,50.0,50.2,12.8,11.2,12.5,31.6,0.249
7,East,2.0,Alabama,Robert Morris,0.757,25.54,76.0,118.5,0.466,53.5,55.4,8.1,10.1,14.3,33.7,0.283,0.743,0.4,68.8,109.8,0.366,53.4,60.2,9.1,12.1,15.6,35.5,0.27
8,Midwest,1.0,Houston,SIU-Edwardsville,0.875,28.45,62.4,116.2,0.347,53.9,45.1,12.2,15.8,11.8,36.9,0.201,0.647,-6.12,67.7,105.0,0.368,51.5,52.9,9.7,11.5,14.2,31.9,0.216
9,Midwest,8.0,Gonzaga,Georgia,0.743,23.75,70.4,121.5,0.336,53.8,62.4,10.5,8.3,11.6,32.5,0.246,0.606,16.36,68.6,109.8,0.37,52.8,47.8,11.3,14.5,16.1,36.0,0.288
