,Seed,team1,team2,team1_win,Season,win_loss_pct_x,srs_x,pace_x,off_rtg_x,fta_per_fga_pct_x,fg3a_per_fga_pct_x,ts_pct_x,trb_pct_x,ast_pct_x,stl_pct_x,blk_pct_x,efg_pct_x,tov_pct_x,orb_pct_x,ft_rate_x,win_loss_pct_y,srs_y,pace_y,off_rtg_y,fta_per_fga_pct_y,fg3a_per_fga_pct_y,ts_pct_y,trb_pct_y,ast_pct_y,stl_pct_y,blk_pct_y,efg_pct_y,tov_pct_y,orb_pct_y,ft_rate_y
0,1,UConn,Stetson,1,2024,0.925,26.7,66.0,123.3,0.319,0.402,0.597,56.3,63.6,9.3,14.2,0.569,12.3,36.7,0.237,,,,,,,,,,,,,,,
1,16,Stetson,UConn,0,2024,,,,,,,,,,,,,,,,0.925,26.7,66.0,123.3,0.319,0.402,0.597,56.3,63.6,9.3,14.2,0.569,12.3,36.7,0.237
2,9,Northwestern,Florida Atlantic,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,Florida Atlantic,Northwestern,0,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,San Diego State,UAB,1,2024,0.703,14.68,67.0,108.7,0.362,0.379,0.54,52.9,50.4,10.9,11.9,0.5,14.0,33.2,0.265,,,,,,,,,,,,,,,
5,12,UAB,San Diego State,0,2024,,,,,,,,,,,,,,,,0.703,14.68,67.0,108.7,0.362,0.379,0.54,52.9,50.4,10.9,11.9,0.5,14.0,33.2,0.265
6,13,Yale,Auburn,1,2024,0.697,4.63,66.1,111.2,0.277,0.349,0.553,52.8,53.9,9.2,9.6,0.528,12.4,28.9,0.196,0.771,22.46,70.9,117.2,0.383,0.375,0.58,52.3,61.6,10.4,15.9,0.542,13.0,32.9,0.287
7,4,Auburn,Yale,0,2024,0.771,22.46,70.9,117.2,0.383,0.375,0.58,52.3,61.6,10.4,15.9,0.542,13.0,32.9,0.287,0.697,4.63,66.1,111.2,0.277,0.349,0.553,52.8,53.9,9.2,9.6,0.528,12.4,28.9,0.196
8,11,Duquesne,BYU,1,2024,,,,,,,,,,,,,,,,0.676,19.33,69.9,116.4,0.254,0.504,0.573,54.2,63.4,8.5,7.6,0.548,13.1,32.8,0.188
9,6,BYU,Duquesne,0,2024,0.676,19.33,69.9,116.4,0.254,0.504,0.573,54.2,63.4,8.5,7.6,0.548,13.1,32.8,0.188,,,,,,,,,,,,,,,
10,3,Illinois,Morehead State,1,2024,0.763,19.56,70.1,118.2,0.371,0.385,0.572,55.2,45.8,6.2,8.2,0.536,12.6,35.6,0.273,,,,,,,,,,,,,,,
11,14,Morehead State,Illinois,0,2024,,,,,,,,,,,,,,,,0.763,19.56,70.1,118.2,0.371,0.385,0.572,55.2,45.8,6.2,8.2,0.536,12.6,35.6,0.273
12,7,Washington State,Drake,1,2024,,,,,,,,,,,,,,,,0.8,11.08,68.4,113.9,0.328,0.394,0.582,51.2,56.4,9.2,4.6,0.549,12.3,24.2,0.247
13,10,Drake,Washington State,0,2024,0.8,11.08,68.4,113.9,0.328,0.394,0.582,51.2,56.4,9.2,4.6,0.549,12.3,24.2,0.247,,,,,,,,,,,,,,,
14,2,Iowa State,South Dakota State,1,2024,0.784,22.3,67.9,110.9,0.354,0.317,0.551,50.5,58.1,15.2,10.8,0.52,13.3,31.1,0.248,,,,,,,,,,,,,,,
