,index,school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,Season
0,0,Abilene Christian,0.5,-5.84,71.1,98.6,0.361,0.262,0.523,50.1,51.4,14.4,8.5,0.483,18.0,31.8,0.258,2025
1,1,Air Force,0.125,-8.07,64.7,95.0,0.354,0.485,0.525,46.6,62.9,8.7,8.1,0.501,18.7,22.7,0.225,2025
2,2,AkronNCAA,0.8,3.22,72.5,115.4,0.261,0.459,0.579,52.3,58.6,10.5,9.8,0.552,14.0,32.7,0.197,2025
3,3,AlabamaNCAA,0.757,25.54,76.0,118.5,0.393,0.466,0.596,53.5,55.4,8.1,10.1,0.566,14.3,33.7,0.283,2025
4,4,Alabama A&M,0.313,-20.52,73.0,98.4,0.375,0.41,0.504,49.5,54.3,11.2,11.5,0.47,18.1,35.1,0.249,2025
5,5,Alabama StateNCAA,0.556,-8.99,69.5,104.7,0.29,0.427,0.505,47.7,45.1,11.4,8.2,0.475,11.1,28.7,0.199,2025
6,6,Albany (NY),0.515,-9.75,68.7,107.5,0.289,0.36,0.53,50.8,45.9,11.9,6.5,0.499,13.3,32.9,0.207,2025
7,7,Alcorn State,0.344,-14.06,66.3,97.7,0.306,0.294,0.496,49.9,43.6,9.9,8.7,0.458,16.6,33.5,0.219,2025
8,8,AmericanNCAA,0.629,-7.64,64.4,105.2,0.299,0.454,0.556,48.4,52.5,10.0,5.5,0.523,15.2,24.5,0.226,2025
9,9,Appalachian State,0.548,-2.59,64.5,104.7,0.35,0.412,0.533,50.7,52.7,8.5,10.1,0.507,14.5,28.2,0.228,2025
10,10,ArizonaNCAA,0.649,22.94,70.4,116.3,0.358,0.347,0.575,55.0,55.6,10.6,12.1,0.533,13.7,36.0,0.28,2025
11,11,Arizona State,0.394,10.62,70.1,104.4,0.362,0.426,0.551,47.8,51.1,7.4,12.1,0.515,15.6,25.1,0.263,2025
12,12,ArkansasNCAA,0.611,17.09,70.3,108.5,0.356,0.366,0.559,50.1,52.1,10.6,15.0,0.522,14.3,28.1,0.263,2025
13,13,Arkansas State,0.694,5.81,70.4,111.9,0.325,0.451,0.535,51.9,52.0,10.3,11.3,0.5,12.3,34.0,0.236,2025
14,14,Arkansas-Pine Bluff,0.194,-24.34,73.1,99.0,0.32,0.379,0.529,46.8,54.2,9.7,6.3,0.515,17.5,26.9,0.19,2025
15,15,Army,0.515,-12.11,67.7,105.7,0.256,0.426,0.527,48.5,52.2,9.7,6.2,0.504,12.6,27.3,0.174,2025
16,16,AuburnNCAA,0.842,28.68,69.2,119.6,0.339,0.408,0.579,52.7,54.9,9.9,15.8,0.549,11.7,34.2,0.247,2025
17,17,Austin Peay,0.424,-9.57,67.2,105.3,0.288,0.409,0.525,46.8,49.8,10.2,7.3,0.493,12.7,26.7,0.207,2025
18,18,Ball State,0.452,-7.95,69.0,108.4,0.457,0.373,0.559,50.9,52.1,7.1,6.0,0.519,14.8,27.7,0.322,2025
19,19,BaylorNCAA,0.571,18.77,65.8,113.6,0.301,0.398,0.548,52.5,53.3,11.3,8.6,0.514,13.5,36.6,0.225,2025
20,21,Bellarmine,0.161,-15.26,67.6,106.6,0.255,0.445,0.576,46.5,53.9,9.3,5.5,0.548,16.0,21.2,0.197,2025
21,22,Belmont,0.667,1.94,70.4,112.2,0.261,0.445,0.573,49.1,60.1,9.8,9.2,0.55,14.0,27.2,0.187,2025
22,23,Bethune-Cookman,0.515,-10.22,69.6,98.6,0.359,0.339,0.517,49.8,52.9,9.6,9.7,0.482,17.0,28.8,0.248,2025
23,24,Binghamton,0.469,-13.5,66.8,103.2,0.336,0.365,0.555,52.2,51.9,7.1,8.4,0.527,17.6,27.6,0.233,2025
24,25,Boise State,0.703,13.86,66.3,113.9,0.377,0.423,0.574,55.6,56.1,8.5,7.6,0.529,14.2,33.0,0.294,2025
25,26,Boston College,0.387,-0.25,66.8,102.4,0.315,0.33,0.524,49.1,45.3,7.6,10.5,0.489,15.0,28.8,0.226,2025
26,27,Boston University,0.5,-11.0,64.1,103.1,0.312,0.422,0.534,54.2,49.6,9.3,8.2,0.51,17.4,32.8,0.207,2025
27,28,Bowling Green State,0.438,-9.53,70.1,104.8,0.337,0.401,0.546,49.5,44.0,10.3,9.6,0.508,15.4,26.5,0.251,2025
28,29,Bradley,0.757,6.4,66.4,113.3,0.315,0.431,0.597,51.0,53.8,9.7,11.8,0.569,15.3,26.5,0.235,2025
29,30,Brigham YoungNCAA,0.722,19.07,68.1,117.6,0.304,0.476,0.592,54.3,59.6,10.3,10.0,0.57,14.9,33.7,0.217,2025
30,31,Brown,0.519,-5.21,67.4,105.7,0.278,0.409,0.534,50.4,55.0,8.7,14.0,0.517,14.7,30.8,0.175,2025
31,32,BryantNCAA,0.657,-1.99,73.4,111.0,0.293,0.353,0.545,52.9,49.5,9.0,14.4,0.516,13.7,34.5,0.21,2025
32,33,Bucknell,0.545,-5.35,67.4,105.0,0.367,0.41,0.562,49.8,52.0,9.4,9.2,0.538,16.6,26.0,0.244,2025
33,34,Buffalo,0.29,-15.16,73.3,98.0,0.338,0.439,0.527,47.1,54.0,9.2,8.8,0.493,17.6,25.1,0.237,2025
34,35,Butler,0.429,10.03,67.6,110.2,0.368,0.416,0.573,50.1,54.5,5.9,6.6,0.537,14.4,26.1,0.272,2025
35,36,Cal Poly,0.457,-2.47,75.0,107.9,0.267,0.509,0.583,48.0,52.9,10.3,5.6,0.554,18.2,28.0,0.205,2025
36,37,Cal State Bakersfield,0.424,-5.93,67.6,108.3,0.343,0.295,0.538,53.0,39.2,10.0,9.0,0.494,15.5,36.7,0.264,2025
37,38,Cal State Fullerton,0.188,-15.96,68.8,92.0,0.398,0.338,0.5,48.5,42.2,7.7,6.1,0.447,19.0,27.2,0.295,2025
38,39,Cal State Northridge,0.667,1.83,72.8,109.9,0.357,0.312,0.557,55.9,56.6,10.4,10.5,0.522,16.0,35.6,0.259,2025
39,40,California,0.424,5.48,67.8,108.1,0.389,0.378,0.526,51.8,41.2,9.0,9.3,0.478,13.9,34.7,0.29,2025
40,42,California Baptist,0.531,-1.13,67.5,104.4,0.297,0.35,0.522,51.3,45.6,9.7,6.9,0.483,15.0,33.3,0.225,2025
41,43,Campbell,0.469,-5.39,66.5,105.1,0.303,0.413,0.544,48.0,54.3,10.3,8.8,0.506,14.0,24.6,0.234,2025
42,44,Canisius,0.097,-19.26,66.2,97.8,0.233,0.414,0.54,41.6,47.7,9.3,7.2,0.512,17.0,18.3,0.177,2025
43,45,Central Arkansas,0.273,-15.16,67.9,101.1,0.28,0.482,0.513,49.3,55.4,10.6,8.0,0.48,15.3,29.4,0.201,2025
44,46,Central Connecticut State,0.781,-4.47,66.5,108.2,0.255,0.358,0.564,52.5,52.4,11.3,12.2,0.538,15.0,27.0,0.189,2025
45,47,Central Michigan,0.452,-4.51,69.6,107.7,0.362,0.338,0.553,52.7,50.3,10.5,8.7,0.517,15.2,32.1,0.262,2025
46,48,Charleston Southern,0.313,-11.12,69.6,102.3,0.448,0.424,0.526,51.9,47.7,6.7,6.3,0.49,16.5,32.0,0.296,2025
47,49,Charlotte,0.333,-5.45,65.4,105.8,0.425,0.412,0.536,47.5,53.2,7.6,5.9,0.485,13.2,25.7,0.318,2025
48,50,Chattanooga,0.763,2.37,67.4,115.6,0.299,0.46,0.592,50.0,60.7,9.9,8.2,0.562,12.9,26.0,0.23,2025
49,51,Chicago State,0.125,-21.12,69.0,90.0,0.268,0.409,0.478,43.1,48.5,10.6,10.2,0.444,16.4,22.6,0.189,2025
50,52,Cincinnati,0.543,14.23,66.6,106.9,0.231,0.383,0.529,50.9,51.0,11.4,11.1,0.511,13.3,32.2,0.154,2025
